wavelength_nm,absorbance,sample_name,extraction_method,extraction_timestamp,source_image
408.1447963800905,0.4784780987040799,Synthetic purplish-pink morganite – 2,Universal_Detection,2025-08-16 09:31:17.031128,Synthetic purplish-pink morganite – 2.10 ct – Australia.JPG
410.1197052013499,0.46209139743565547,Synthetic purplish-pink morganite – 2,Universal_Detection,2025-08-16 09:31:17.031128,Synthetic purplish-pink morganite – 2.10 ct – Australia.JPG
412.0946140226093,0.4483529553570522,Synthetic purplish-pink morganite – 2,Universal_Detection,2025-08-16 09:31:17.031128,Synthetic purplish-pink morganite – 2.10 ct – Australia.JPG
414.0695228438687,0.4372627724682705,Synthetic purplish-pink morganite – 2,Universal_Detection,2025-08-16 09:31:17.031128,Synthetic purplish-pink morganite – 2.10 ct – Australia.JPG
416.0444316651281,0.4293420776835609,Synthetic purplish-pink morganite – 2,Universal_Detection,2025-08-16 09:31:17.031128,Synthetic purplish-pink morganite – 2.10 ct – Australia.JPG
418.0193404863875,0.4251223865337785,Synthetic purplish-pink morganite – 2,Universal_Detection,2025-08-16 09:31:17.031128,Synthetic purplish-pink morganite – 2.10 ct – Australia.JPG
419.9942493076469,0.4197910146767029,Synthetic purplish-pink morganite – 2,Universal_Detection,2025-08-16 09:31:17.031128,Synthetic purplish-pink morganite – 2.10 ct – Australia.JPG
421.9691581289063,0.4129364974481934,Synthetic purplish-pink morganite – 2,Universal_Detection,2025-08-16 09:31:17.031128,Synthetic purplish-pink morganite – 2.10 ct – Australia.JPG
423.94406695016573,0.40629448961681064,Synthetic purplish-pink morganite – 2,Universal_Detection,2025-08-16 09:31:17.031128,Synthetic purplish-pink morganite – 2.10 ct – Australia.JPG
425.9189757714251,0.3986349538748115,Synthetic purplish-pink morganite – 2,Universal_Detection,2025-08-16 09:31:17.031128,Synthetic purplish-pink morganite – 2.10 ct – Australia.JPG
427.8938845926845,0.3903691128482991,Synthetic purplish-pink morganite – 2,Universal_Detection,2025-08-16 09:31:17.031128,Synthetic purplish-pink morganite – 2.10 ct – Australia.JPG
